id;nome;tipo;regiao;endereco;lat;lon;pessoas_ideal;janelas;dias_fixos;coberto;inviavel;fluxo_panfletos_hora;raio_km;n_locais_1km;aptos_1km;pct_direita_ver24_1km;pct_direita_est22_1km;pct_novo_ver24_1km;tendencia_dir_20_24;tendencia_novo_20_24;pct_bruno18_1km;pct_brunofed22_1km;votos_direita22_1km;votos_matheus_1km;pct_superior_1km;pct_16a24_1km;afinidade_raw;liberal_raw;comp_afinidade;comp_liberal;comp_fluxo;comp_perfil;indice;classe
TIRIO;TIRIO — Terminal do Rio Tavares;terminal;Sul da Ilha;SC-405, Rio Tavares;-27,6482;-48,4818;2;manha,tarde;;True;False;225,0000;1,0000;2;6940;0,2108;0,1889;0,0260;0,1258;-0,0312;0,0326;0,0666;944;3;0,3839;0,1030;0,2664;0,0378;0,6710;0,0326;0,7746;0,5714;74,0000;misto
SEM-CIC;Rótula do CIC/Beiramar (Irineu Bornhausen × H. S. Fontes);semaforo;Centro;Av. Gov. Irineu Bornhausen, Agronômica;-27,5860;-48,5236;3;manha,tarde;;False;False;166,0000;1,0000;5;9876;0,2135;0,2240;0,0658;0,0923;0,0023;0,0579;0,0899;1706;3;0,4495;0,1023;0,2631;0,0699;0,6528;0,2531;0,5328;0,6705;73,6000;misto
CORPORATE-ITACORUBI;Corporate Park / escritórios Itacorubi;tech;Centro;Av. Madre Benvenuta / R. Pastor W. R. Schürmann;-27,5910;-48,5060;2;almoco;;False;False;54,0000;1,0000;5;18586;0,2373;0,2463;0,0844;0,0665;-0,0280;0,0777;0,1260;2956;11;0,5704;0,1010;0,2735;0,0931;0,7105;0,4128;0,0738;0,8533;70,1000;alta afinidade / baixo fluxo — porta a porta e eventos
SEM-MAURO-RAMOS;Semáforo Mauro Ramos (IEE/CEFET);semaforo;Centro;Av. Mauro Ramos, Centro;-27,5940;-48,5440;2;manha,almoco,tarde;;False;False;150,0000;1,0000;9;27404;0,2198;0,2331;0,0612;0,0630;-0,0121;0,0678;0,0997;4871;2;0,4619;0,0976;0,2557;0,0724;0,6113;0,2708;0,4672;0,6800;70,1000;misto
SEM-INGLESES;Semáforo centrinho dos Ingleses (Dom João Becker);semaforo;Norte da Ilha;Rod. Dom João Becker, Ingleses;-27,4358;-48,3972;2;manha,tarde;;False;False;150,0000;1,0000;3;15580;0,2316;0,2544;0,0210;0,1726;-0,0013;0,0343;0,0655;2684;1;0,2071;0,0748;0,3255;0,0355;1,0000;0,0166;0,4672;0,2427;69,8000;misto
FEIRA-CORREGO;Feira do Córrego Grande (Jardim Anchieta);feira;Centro;Av. Gov. José Boabaid, Córrego Grande;-27,5872;-48,5062;2;feira;ter,sex;False;False;50,0000;1,0000;5;18586;0,2373;0,2463;0,0844;0,0665;-0,0280;0,0777;0,1260;2956;11;0,5704;0,1010;0,2735;0,0931;0,7105;0,4128;0,0574;0,8533;69,5000;alta afinidade / baixo fluxo — porta a porta e eventos
FEIRA-ITACORUBI;Feira do Itacorubi (Amaro Antônio Vieira);feira;Centro;Rod. Amaro Antônio Vieira (praça), Itacorubi;-27,5836;-48,4966;2;feira;sex;False;False;60,0000;1,0000;4;15809;0,2318;0,2392;0,0805;0,0742;-0,0249;0,0775;0,1234;2338;11;0,5622;0,1000;0,2714;0,0905;0,6985;0,3948;0,0984;0,8387;69,5000;alta afinidade / baixo fluxo — porta a porta e eventos
SEM-FULVIO;Semáforo Fúlvio Aducci × Santos Saraiva (Estreito);semaforo;Continente;R. Fúlvio Aducci, Estreito;-27,5924;-48,5806;2;manha,almoco,tarde;;False;False;150,0000;1,0000;7;21072;0,2138;0,2521;0,0471;0,0857;-0,0143;0,0613;0,1013;3296;3;0,3645;0,1177;0,2694;0,0642;0,6877;0,2142;0,4672;0,5718;69,3000;misto
UFSC-TRINDADE;UFSC — portaria Trindade (Delfino Conti);universidade;Centro;R. Delfino Conti, Trindade;-27,5999;-48,5192;2;manha,almoco,tarde;;False;False;225,0000;1,0000;9;22433;0,1738;0,1817;0,0640;0,0439;-0,0144;0,0705;0,0797;3172;6;0,4641;0,1586;0,1983;0,0696;0,2920;0,2512;0,7746;0,8083;68,4000;alto fluxo / baixa afinidade — só reconhecimento de nome
IGUATEMI-ENTORNO;Entorno do Iguatemi (calçada pública);calcadao;Centro;Av. Madre Benvenuta, 687 (calçada);-27,5928;-48,5020;2;almoco,tarde,fds_tarde;;False;False;81,0000;1,0000;6;23775;0,2248;0,2392;0,0787;0,0569;-0,0259;0,0738;0,1210;3836;11;0,5456;0,0883;0,2581;0,0881;0,6245;0,3783;0,1844;0,7893;67,1000;misto
TISAN;TISAN — Terminal de Santo Antônio;terminal;Centro;SC-401, Santo Antônio de Lisboa;-27,5077;-48,5145;2;manha,tarde;;True;False;135,0000;1,0000;2;3409;0,1950;0,2402;0,0532;0,0780;-0,0165;0,0902;0,1059;618;2;0,4004;0,1255;0,2491;0,0756;0,5744;0,2927;0,4057;0,6429;65,9000;misto
SEM-CAMPECHE;Semáforo entrada do Campeche (Pequeno Príncipe × SC-405);semaforo;Sul da Ilha;Av. Pequeno Príncipe × SC-405, Rio Tavares;-27,6520;-48,4838;2;manha,tarde;;False;False;160,0000;1,0000;2;6940;0,2108;0,1889;0,0260;0,1258;-0,0312;0,0326;0,0666;944;3;0,3839;0,1030;0,2664;0,0378;0,6710;0,0326;0,5082;0,5714;65,0000;misto
SEM-RIO-TAVARES;Rótula do Rio Tavares (SC-405 × Moura Gonzaga);semaforo;Sul da Ilha;SC-405, Rio Tavares;-27,6425;-48,4869;2;manha,tarde;;False;False;158,0000;2,0000;3;8128;0,2081;0,1914;0,0270;0,1217;-0,0305;0,0338;0,0662;1134;3;0,3931;0,1006;0,2634;0,0385;0,6540;0,0376;0,5000;0,5808;64,3000;misto
COMERCIO-ESTREITO;Comércio da Fúlvio Aducci (Estreito);calcadao;Continente;R. Fúlvio Aducci, Estreito;-27,5924;-48,5804;2;almoco,tarde;;False;False;108,0000;1,0000;7;21072;0,2138;0,2521;0,0471;0,0857;-0,0143;0,0613;0,1013;3296;3;0,3645;0,1177;0,2694;0,0642;0,6877;0,2142;0,2951;0,5718;63,5000;misto
FEIRA-TRINDADE;Feira da Trindade (Praça Santos Dumont);feira;Centro;Praça Santos Dumont, Trindade;-27,5876;-48,5230;2;feira;qua,sex;False;False;80,0000;1,0000;4;9876;0,2135;0,2240;0,0658;0,0923;0,0023;0,0579;0,0899;1705;3;0,4495;0,1023;0,2631;0,0699;0,6528;0,2531;0,1803;0,6705;61,7000;misto
CENTRINHO-INGLESES;Centrinho dos Ingleses (Dom João Becker);calcadao;Norte da Ilha;R. Dom João Becker, Ingleses;-27,4359;-48,3958;2;tarde,fds_tarde;;False;False;72,0000;1,0000;3;12413;0,2223;0,2614;0,0258;0,1605;0,0021;0,0392;0,0694;2223;1;0,2563;0,0785;0,3156;0,0400;0,9450;0,0482;0,1475;0,3258;59,6000;alta afinidade / baixo fluxo — porta a porta e eventos
FEIRA-CAMPECHE;Feira do Campeche (Av. Pequeno Príncipe);feira;Sul da Ilha;Av. Pequeno Príncipe (posto de saúde), Campeche;-27,6777;-48,4880;2;feira;qua,sex,sab;False;False;70,0000;1,0000;2;1328;0,2395;0,1725;0,0302;0,1699;-0,0020;0,0393;0,0492;163;0;0,4239;0,0261;0,3021;0,0372;0,8698;0,0288;0,1393;0,4754;59,3000;alta afinidade / baixo fluxo — porta a porta e eventos
CENTRINHO-CAMPECHE;Centrinho do Campeche;calcadao;Sul da Ilha;Av. Pequeno Príncipe, Campeche;-27,6777;-48,4880;2;tarde,fds_tarde;;False;False;63,0000;1,0000;2;1328;0,2395;0,1725;0,0302;0,1699;-0,0020;0,0393;0,0492;163;0;0,4239;0,0261;0,3021;0,0372;0,8698;0,0288;0,1107;0,4754;58,3000;alta afinidade / baixo fluxo — porta a porta e eventos
TICAN;TICAN — Terminal de Canasvieiras;terminal;Norte da Ilha;Rod. Tertuliano Brito Xavier, Canasvieiras;-27,4293;-48,4645;2;manha,tarde;;True;False;198,0000;1,0000;2;10401;0,1525;0,2451;0,0350;0,0935;0,0053;0,0362;0,0685;1825;0;0,2543;0,1135;0,2301;0,0437;0,4687;0,0733;0,6639;0,3942;57,0000;alto fluxo / baixa afinidade — só reconhecimento de nome
PARQTEC-ALFA;ParqTec Alfa / ACATE (SC-401 João Paulo);tech;Centro;SC-401 km 4, João Paulo;-27,5385;-48,5020;2;almoco;;False;False;45,0000;1,0000;2;1745;0,2542;0,1969;0,1059;;;0,3482;0,1541;115;0;0,1138;0,1214;0,2351;0,1785;0,4965;1,0000;0,0369;0,1950;56,8000;misto
SEM-IVO-SILVEIRA;Semáforo Via Expressa/Ivo Silveira (fim da BR-282);semaforo;Continente;Av. Ivo Silveira, Estreito;-27,5936;-48,5910;3;manha,tarde;;False;False;158,0000;1,0000;10;23853;0,1871;0,2308;0,0358;0,0672;-0,0122;0,0608;0,0933;4104;6;0,2826;0,1089;0,2353;0,0564;0,4976;0,1606;0,5000;0,4282;56,1000;misto
UFSC-CTC;UFSC — CTC/Biblioteca (entrada Pantanal);universidade;Centro;Campus UFSC, acesso Pantanal;-27,6015;-48,5187;2;manha,almoco,tarde;;False;False;162,0000;1,0000;7;16894;0,1561;0,1676;0,0610;0,0248;-0,0218;0,0729;0,0742;2213;4;0,4683;0,1727;0,1723;0,0673;0,1471;0,2354;0,5164;0,8435;53,4000;alto fluxo / baixa afinidade — só reconhecimento de nome
SEM-EDU-VIEIRA;Semáforo UFSC Sul (Dep. Antônio Edu Vieira × Cap. Romualdo);semaforo;Centro;R. Dep. Antônio Edu Vieira, Pantanal;-27,6063;-48,5227;2;manha,tarde;;False;False;160,0000;1,0000;8;21635;0,1629;0,1703;0,0543;0,0350;-0,0198;0,0666;0,0734;2857;4;0,4269;0,1545;0,1829;0,0622;0,2058;0,2002;0,5082;0,7427;52,2000;alto fluxo / baixa afinidade — só reconhecimento de nome
TILAG;TILAG — Terminal da Lagoa;terminal;Leste/Lagoa;Av. Afonso Delambert Neto, Lagoa;-27,6066;-48,4691;2;manha,tarde;;True;False;162,0000;1,0000;3;8654;0,1731;0,1991;0,0407;0,0340;-0,0431;0,0559;0,0787;1251;1;0,4129;0,1054;0,1988;0,0540;0,2943;0,1440;0,5164;0,6209;51,9000;alto fluxo / baixa afinidade — só reconhecimento de nome
SEM-CANASVIEIRAS;Semáforo entrada de Canasvieiras (Tertuliano B. Xavier);semaforo;Norte da Ilha;Rod. Tertuliano Brito Xavier, Canasvieiras;-27,4335;-48,4623;2;manha,tarde;;False;False;148,0000;1,0000;2;10401;0,1525;0,2451;0,0350;0,0935;0,0053;0,0362;0,0685;1825;0;0,2543;0,1135;0,2301;0,0437;0,4687;0,0733;0,4590;0,3942;50,1000;misto
FEIRA-AGRONOMICA;Feira da Agronômica (Praça Celso Ramos);feira;Centro;Praça Celso Ramos, Agronômica;-27,5810;-48,5390;2;feira;sex;False;False;60,0000;1,0000;6;9762;0,2004;0,2182;0,0474;0,0943;-0,0100;0,0548;0,0869;1541;2;0,3124;0,1187;0,2535;0,0591;0,5991;0,1795;0,0984;0,4941;49,7000;misto
BEIRAMAR-ENTORNO;Entorno do Beiramar Shopping (calçada pública);calcadao;Centro;R. Bocaiúva, 2468 (calçada);-27,5850;-48,5330;2;almoco,tarde;;False;False;90,0000;1,0000;5;6849;0,1847;0,1844;0,0423;0,0928;-0,0018;0,0405;0,0666;972;1;0,3174;0,1101;0,2310;0,0479;0,4739;0,1023;0,2213;0,4841;45,6000;misto
BEIRAMAR-COQUEIROS;Beira-mar de Coqueiros (calçadão);calcadao;Continente;R. Des. Pedro Silva, Coqueiros;-27,6001;-48,5766;2;tarde,fds_tarde;;False;False;54,0000;1,0000;6;11127;0,1879;0,2368;0,0470;0,0234;-0,0204;0,0635;0,0916;1270;6;0,4106;0,1330;0,2159;0,0623;0,3897;0,2009;0,0738;0,6739;44,4000;misto
SAPIENS;Sapiens Parque (Canasvieiras);tech;Norte da Ilha;Av. Luiz Boiteux Piazza, Canasvieiras;-27,4404;-48,4521;2;almoco;;False;False;36,0000;1,0000;1;3364;0,1673;0,2698;0,0413;0,0986;0,0064;0,0374;0,0688;657;0;0,3157;0,1017;0,2507;0,0472;0,5837;0,0975;0,0000;0,4642;42,6000;misto
CENTRINHO-LAGOA;Centrinho da Lagoa da Conceição;calcadao;Leste/Lagoa;Av. Afonso Delambert Neto, Lagoa;-27,6046;-48,4674;2;tarde,fds_tarde;;False;False;81,0000;1,0000;3;8654;0,1731;0,1991;0,0407;0,0340;-0,0431;0,0559;0,0787;1251;1;0,4129;0,1054;0,1988;0,0540;0,2943;0,1440;0,1844;0,6209;40,7000;misto
FEIRA-LAGOA;Feira da Lagoa (Praça Bento Silvério);feira;Leste/Lagoa;Praça Bento Silvério, Lagoa da Conceição;-27,6046;-48,4682;2;feira;qua,sab;False;False;70,0000;1,0000;3;8654;0,1731;0,1991;0,0407;0,0340;-0,0431;0,0559;0,0787;1251;1;0,4129;0,1054;0,1988;0,0540;0,2943;0,1440;0,1393;0,6209;39,2000;misto
SEM-MAX-SCHRAMM;Semáforo Max Schramm (Jardim Atlântico);semaforo;Continente;Av. Marinheiro Max Schramm, Jardim Atlântico;-27,5893;-48,5989;3;manha,tarde;;False;False;160,0000;1,0000;7;12770;0,1246;0,1730;0,0168;0,0189;-0,0049;0,0592;0,0582;1516;0;0,1274;0,1299;0,1502;0,0378;0,0238;0,0325;0,5082;0,2332;25,4000;alto fluxo / baixa afinidade — só reconhecimento de nome
FEIRA-SACO-LIMOES;Feira do Saco dos Limões (Praça Abdon Batista);feira;Centro;Praça Abdon Batista, Saco dos Limões;-27,6070;-48,5350;2;feira;sab;False;False;50,0000;1,0000;2;9235;0,1719;0,1754;0,0220;0,0434;-0,0057;0,0304;0,0579;1166;1;0,2170;0,1201;0,1948;0,0330;0,2720;0,0000;0,0574;0,3506;24,2000;misto
SEM-RENDEIRAS;Av. das Rendeiras (Lagoa da Conceição);semaforo;Leste/Lagoa;Av. das Rendeiras, Lagoa da Conceição;-27,6068;-48,4485;1;tarde,fds_tarde;;False;False;135,0000;1,0000;1;728;0,0998;0,2060;0,0163;0,0214;-0,0123;0,0336;0,0705;117;0;0,2706;0,0659;0,1459;0,0342;0,0000;0,0080;0,4057;0,3220;22,5000;misto
SC401-TREVO;SC-401 (trevos) — INVIÁVEL para abordagem;semaforo;Norte da Ilha;SC-401, João Paulo;-27,5385;-48,5008;0;;;False;True;0,0000;1,0000;2;1745;0,2542;0,1969;0,1059;;;0,3482;0,1541;115;0;0,1138;0,1214;0,2351;0,1785;;;;;0,0000;inviável (rodovia — sem parada segura)
